Date,3MINDIA.NS,AARTIIND.NS,ABB.NS,ABBOTINDIA.NS,ABFRL.NS,ABREL.NS,ACC.NS,ACE.NS,ADANIENT.NS,ADANIGREEN.NS,ADANIPORTS.NS,ADANITRANS.NS,ADVENZYMES.NS,AFFLE.NS,AIAENG.NS,AJANTPHARM.NS,AKZOINDIA.NS,ALEMBICLTD.NS,ALKEM.NS,ALLCARGO.NS,AMBUJACEM.NS
2019-08-12,-0.036552505599972515,-0.15419887007078564,-0.0029957424733601146,0.05132308952708838,-0.18953525828441475,0.01836840092404927,0.061648379430406255,-0.1258553534018622,0.004164426419818715,0.14425733844754718,-0.061343188029952866,-0.061733028190258894,-0.034228350064862925,0.0,-0.0524322495997055,0.06474045480576754,-0.1082124236663259,0.21938047279608083,0.030431507474763468,-0.022404450705326356,-0.009930437972157058
2019-08-19,-0.09285241378635371,-0.1464464733427669,0.002355379427698094,0.017790811852671822,-0.18876402464666792,-0.01144568897923778,0.0017104332029744343,-0.1847496934535952,0.08383076956673506,0.13134004108469935,-0.05810406407283613,-0.012737498874031559,-0.0594795535334117,0.0,-0.10602101652210341,0.04639200124626379,-0.10241465289482786,0.21053906794803431,0.012988112291711299,-0.03142914444681278,-0.07995598541233995
2019-08-26,-0.074559093570302,-0.019428168796675898,0.010110913014500083,0.11855185245364751,-0.196066309633093,0.057035349056983105,0.075162047059174,-0.07620052868278163,0.10913660829862439,0.2032961725271067,-0.0517425347073308,0.029316160251076445,-0.017421744202683644,0.0,-0.1631819967027846,0.09778027497998532,-0.05911190859710624,0.12833067142974985,0.12332000730852591,-0.041312646495036055,-0.005326415936558713
2019-09-02,-0.13818649282380585,-0.012771606304629701,-0.00613085844392011,0.19006644522825675,-0.17688631161700386,-0.01690896952804544,0.00737372026661975,-0.032735146124789616,0.04883496685816251,0.1346682524502518,-0.057686705214709345,0.043812300410279455,0.02721793710365028,0.0,-0.1826385391851108,0.09660243327499742,-0.09369231163908921,0.1456121308278185,0.11085922212925134,-0.02262998031718769,-0.06684674569392371
2019-09-09,-0.11551852516433345,-0.002750473593195612,0.02809891967670256,0.16962222296430876,-0.19867291795493286,0.012120958560347546,-0.02299587291591488,-0.05044919252343161,0.07621140714201649,0.15180558342439418,0.018352794614091665,0.05795884651758855,0.08840969819346364,0.0,-0.15627473215110133,0.11459903128598078,-0.11933444032447106,0.18185645530851544,0.12803680085995395,0.08148714239624126,-0.05890676805104201
2019-09-16,-0.16593316619672263,-0.018556364096168544,0.06977764748244185,0.184685630697008,-0.13775949108320878,0.021022771202730696,-0.022928397868870805,-0.13643445952003466,0.07585745152688543,0.1362585871417536,0.02317453709690318,-0.0016145033521378321,-0.02211387866876984,0.0,-0.1150896563117421,0.12827964804578246,0.0038130910235687964,0.22992864778418995,0.19798009854070803,0.04351618876181057,-0.042466569341235494
2019-09-23,-0.09220900657584903,0.015876509069888526,0.12396579181273301,0.22270333166696887,-0.1236948143673965,-0.03774068499911465,0.009016943638008909,-0.10844593154034225,0.0583799083468599,0.12370111245924284,0.04249222621593505,-0.04612794133967594,0.019993900606836194,0.0,0.015267830777357303,0.07975584943670282,0.08129556124419687,0.2312395567259167,0.16443871678953031,0.0009347347310156771,-0.06339410594830393
2019-09-30,-0.13048397499243755,-0.059056896447761874,0.043362635478520914,0.20581626094753838,-0.08248931194448317,-0.08361868050064317,-0.0952322507155773,-0.09872367471405666,0.010307452758843936,0.20160596895110647,0.026273049228748922,-0.040705605780065324,-0.033914110359418104,0.0,-0.014659670061222787,0.01939859721661361,0.029214946919103885,0.14669519221043578,0.19481735000194786,-0.00580011142463894,-0.14565714738117413
2019-10-07,-0.1015569738861196,-0.09802199744092514,0.0739195485370157,0.21526893485704038,-0.056063072921777646,-0.07955671331386709,-0.1604511437823326,-0.12904579627559634,-0.04726662982391954,0.24147239397101578,0.027938204152189786,-0.03535886770228369,-0.05654242546464107,0.0,-0.056528033173991486,-0.028497035586192352,-0.02307987505539556,0.16045550148094975,0.15470900262344628,-0.040162708499483404,-0.16339454064436618
2019-10-14,0.01641478603911444,-0.07819973636413624,0.06821337044949563,0.1698244429836682,-0.02052904715131973,-0.0572554183326316,-0.09777647573920063,-0.104087659121168,0.06584703871947947,0.28160338167852356,0.04143164171428902,0.01187051767382533,-0.031212978556661997,0.0,0.042217727849073364,0.010875797388314805,0.034728511233441915,0.16838562607742796,0.1423896092945412,0.01863615631760487,-0.03998603570493046
